Date/Time,Mean Temp (C),Max Temp (C),Min Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),season
11/1/1937,3.3,8,-1.4,33.8,0,33.8,Fall
12/1/1937,-4.4,0.1,-8.8,7.6,33.8,41.4,Winter
1/1/1938,-7.2,-2.6,-11.7,13.5,26.9,40.4,Winter
2/1/1938,-3.7,0.8,-8.2,63.2,13.2,76.5,Winter
3/1/1938,1.4,7.4,-4.6,35.3,6.4,41.7,Spring
4/1/1938,7.6,13.6,1.6,21.8,11.4,33.3,Spring
5/1/1938,12.1,18.8,5.4,72.4,0,72.4,Spring
6/1/1938,17.3,24.8,9.8,42.2,0,42.2,Summer
7/1/1938,21.8,28.9,14.6,63.2,0,63.2,Summer
8/1/1938,22.7,29.7,15.6,37.1,0,37.1,Summer
9/1/1938,14.2,20.1,8.2,102.1,0,102.1,Fall
10/1/1938,9.9,16.2,3.6,7.1,0,7.1,Fall
11/1/1938,3.2,9,-2.7,30.5,2.5,33,Fall
12/1/1938,-2.5,1.1,-6.1,13.7,13.7,27.4,Winter
1/1/1939,-6.7,-1.3,-12,2.5,45.7,48.3,Winter
2/1/1939,-5.8,-0.5,-11.1,30.2,57.9,88.1,Winter
3/1/1939,-3.6,0.7,-7.8,26.2,54.4,80.5,Spring
4/1/1939,4.1,8.2,-0.1,57.7,32.5,90.2,Spring
5/1/1939,13.9,21.1,6.6,26.4,0,26.4,Spring
6/1/1939,18,24.6,11.4,51.8,0,51.8,Summer
7/1/1939,20.9,28.2,13.5,39.4,0,39.4,Summer
8/1/1939,21.7,28.7,14.7,51.6,0,51.6,Summer
9/1/1939,,,,,,,Fall
10/1/1939,,,,,,,Fall
11/1/1939,,,,,,,Fall
12/1/1939,,,,,,,Winter
1/1/1940,-9.4,-5.2,-13.6,26.7,21.6,48.3,Winter
2/1/1940,-6.2,-2.2,-10.1,6.9,27.2,34,Winter
3/1/1940,-5.2,-1.3,-9.1,13.2,35.1,48.3,Spring
4/1/1940,4.1,8.8,-0.6,45.5,5.3,50.8,Spring
5/1/1940,11.7,16.7,6.6,123.4,0,123.4,Spring
6/1/1940,16.6,21.9,11.2,86.1,0,86.1,Summer
7/1/1940,20.5,26.6,14.3,70.9,0,70.9,Summer
8/1/1940,19.4,25.1,13.6,84.1,0,84.1,Summer
9/1/1940,15.1,20.3,9.8,102.4,0,102.4,Fall
10/1/1940,7.4,12.8,1.9,45.5,0,45.5,Fall
11/1/1940,2.2,5.9,-1.6,53.3,61,114.3,Fall
12/1/1940,-3.6,0.6,-7.7,68.1,14.5,82.6,Winter
1/1/1941,-6.9,-3.1,-10.6,21.1,50,71.1,Winter
2/1/1941,-6.2,-2.6,-9.8,6.4,24.6,31,Winter
3/1/1941,-3.8,0.6,-8.1,23.6,13.2,36.8,Spring
4/1/1941,9.2,15.5,2.9,45,0,45,Spring
5/1/1941,13.9,20.3,7.5,53.8,0,53.8,Spring
6/1/1941,19.3,25.4,13.2,75.7,0,75.7,Summer
7/1/1941,21.5,27.7,15.3,68.1,0,68.1,Summer
8/1/1941,19.5,25.6,13.4,39.4,0,39.4,Summer
9/1/1941,16.8,23.2,10.4,25.1,0,25.1,Fall
10/1/1941,10,14.7,5.2,89.2,0,89.2,Fall
11/1/1941,4.7,8.5,0.8,52.6,0,52.6,Fall
12/1/1941,-1.5,1.9,-4.8,24.9,16.3,41.1,Winter
1/1/1942,-5.5,-1.4,-9.6,21.8,15.2,37.1,Winter
2/1/1942,-7.7,-4.3,-11,13,28.2,41.1,Winter
3/1/1942,1.4,4.3,-1.5,94,23.1,117.1,Spring
4/1/1942,8.9,14.7,3.1,29.7,13.7,43.4,Spring
5/1/1942,12.9,18.2,7.6,208.5,0,208.5,Spring
6/1/1942,17.8,23.4,12.2,32.8,0,32.8,Summer
7/1/1942,20.2,26.7,13.7,110,0,110,Summer
8/1/1942,19.7,25.7,13.6,28.7,0,28.7,Summer
9/1/1942,15.1,20.9,9.3,99.8,0,99.8,Fall
10/1/1942,9.5,14.6,4.3,56.4,0,56.4,Fall
11/1/1942,2.8,7.2,-1.6,58.4,19.6,78,Fall
12/1/1942,-5.6,-1.8,-9.4,56.4,53.6,110,Winter
1/1/1943,-9.1,-4.9,-13.3,2.5,68.3,70.9,Winter
2/1/1943,-5.2,-0.5,-9.9,32.3,16.5,48.8,Winter
3/1/1943,-3.1,1.8,-8,67.1,18.3,85.3,Spring
4/1/1943,2.8,7.3,-1.7,50.8,5.8,56.6,Spring
5/1/1943,12.1,17.2,6.9,104.4,0,104.4,Spring
6/1/1943,20.1,26.4,13.8,45.2,0,45.2,Summer
7/1/1943,21,27.1,14.8,86.6,0,86.6,Summer
8/1/1943,19.9,25.8,13.9,49.3,0,49.3,Summer
9/1/1943,14.5,20.6,8.4,35.1,0,35.1,Fall
10/1/1943,8.3,13.6,2.9,73.4,0,73.4,Fall
11/1/1943,1.9,5.2,-1.4,29.2,11.4,40.6,Fall
12/1/1943,-4.8,-0.2,-9.3,10.7,4.8,15.5,Winter
1/1/1944,-2.7,1.4,-6.8,10.4,9.7,20.1,Winter
2/1/1944,-6,-1.4,-10.6,5.8,57.4,63.2,Winter
3/1/1944,-3.6,0.3,-7.4,53.3,28.2,81.5,Spring
4/1/1944,4.3,8.9,-0.4,71.1,11.7,82.8,Spring
5/1/1944,15.2,21.1,9.3,137.9,0,137.9,Spring
6/1/1944,18.6,24.1,13.1,102.4,0,102.4,Summer
7/1/1944,21,27.4,14.5,90.2,0,90.2,Summer
8/1/1944,21.3,27.9,14.7,54.9,0,54.9,Summer
9/1/1944,15.8,21.2,10.3,64,0,64,Fall
10/1/1944,8.9,14.9,2.9,17.5,0,17.5,Fall
11/1/1944,3.3,6.8,-0.2,30.5,12.2,42.7,Fall
